frames, LHipRoll, LHipPitch, LKneePitch, LAnkleRoll, LAnklePitch, RHipRoll, RHipPitch, RKneePitch, RAnkleRoll, RAnklePitch, HeadPitch, HeadYaw, LHipYawPitch, LElbowRoll, RElbowRoll, LWristYaw, RWristYaw, LShoulderRoll, LShoulderPitch, LElbowYaw, RShoulderRoll, RShoulderPitch, RElbowYaw
12.6802, 0.216325, -1.06167, 0.788702, -0.00759578, -0.0838137, -0.290106, -0.822735, 0.875473, -0.0933479, -0.474508, -0.0784793, 0.222706, -0.0527925, -1.56696, 1.41811, -0.365165, -0.13657, -0.02701, 0.727155, -0.650947, 0.422338, 0.8125, 0.572801
12.6886, 0.218357, -1.06742, 0.785766, -0.00758443, -0.0739231, -0.278729, -0.829073, 0.875031, -0.0974742, -0.480227, -0.0747673, 0.212286, -0.0299846, -1.56464, 1.40726, -0.365639, -0.132096, -0.0318722, 0.736, -0.649907, 0.458475, 0.799513, 0.566052
12.6969, 0.20877, -1.07464, 0.784197, -0.00683953, -0.0678544, -0.281015, -0.839336, 0.874, -0.100186, -0.48257, -0.0764407, 0.202999, -0.0115945, -1.5645, 1.39464, -0.3611, -0.128199, -0.0367943, 0.739351, -0.649936, 0.49586, 0.788672, 0.558074
12.7052, 0.201789, -1.07827, 0.783084, -0.00633551, -0.0595218, -0.281626, -0.844787, 0.872782, -0.104206, -0.487835, -0.087004, 0.192168, 0.00251572, -1.56348, 1.37883, -0.357416, -0.12628, -0.050402, 0.739171, -0.649379, 0.540811, 0.774903, 0.547745
12.7136, 0.198113, -1.07876, 0.780777, -0.00581765, -0.051035, -0.276586, -0.847092, 0.870959, -0.109598, -0.49688, -0.0977203, 0.180484, 0.0220299, -1.56353, 1.36281, -0.354866, -0.126576, -0.0594157, 0.737459, -0.64935, 0.583617, 0.758909, 0.536938
12.7219, 0.189702, -1.08375, 0.778141, -0.00491116, -0.045454, -0.27506, -0.854729, 0.867778, -0.113201, -0.506337, -0.0966583, 0.167809, 0.0451564, -1.56196, 1.34976, -0.351693, -0.123497, -0.0552442, 0.739746, -0.648584, 0.612434, 0.744702, 0.527756
12.7302, 0.181946, -1.09213, 0.774818, -0.0040237, -0.0369659, -0.273346, -0.86417, 0.863809, -0.115764, -0.514251, -0.0993956, 0.155215, 0.0670744, -1.55672, 1.33998, -0.354553, -0.117481, -0.0530018, 0.746908, -0.646025, 0.636579, 0.733024, 0.520726
12.7386, 0.173403, -1.09644, 0.770744, -0.00333143, -0.0245315, -0.273282, -0.870335, 0.859795, -0.118686, -0.517138, -0.106432, 0.141561, 0.088288, -1.55882, 1.32717, -0.356881, -0.110981, -0.0538169, 0.750823, -0.647245, 0.669231, 0.71729, 0.511336
12.7469, 0.165765, -1.09983, 0.766606, -0.00220048, -0.0118141, -0.273561, -0.875965, 0.856416, -0.122599, -0.51882, -0.116648, 0.126864, 0.106705, -1.56422, 1.31033, -0.355304, -0.105577, -0.0565064, 0.753431, -0.650193, 0.702509, 0.693367, 0.498243
12.7553, 0.158418, -1.1031, 0.762723, -0.000502679, -0.00135313, -0.27522, -0.881523, 0.854044, -0.127137, -0.521543, -0.126026, 0.113034, 0.122041, -1.56514, 1.29556, -0.359828, -0.110281, -0.0688656, 0.756892, -0.650832, 0.732495, 0.666789, 0.486184
12.7636, 0.150011, -1.10539, 0.75959, 0.00137377, 0.00558713, -0.279036, -0.887846, 0.852661, -0.130964, -0.522161, -0.131571, 0.099578, 0.135228, -1.56233, 1.27828, -0.370567, -0.11621, -0.0868638, 0.757002, -0.649336, 0.766608, 0.640086, 0.471738
12.7719, 0.14572, -1.10856, 0.756696, 0.00349549, 0.0136985, -0.278225, -0.89598, 0.851804, -0.133789, -0.520934, -0.144873, 0.0848167, 0.150911, -1.55797, 1.25984, -0.374265, -0.115123, -0.103041, 0.757661, -0.647014, 0.798345, 0.610577, 0.456004
12.7803, 0.138673, -1.11115, 0.754438, 0.00582347, 0.022394, -0.278129, -0.903257, 0.850204, -0.136537, -0.522026, -0.156998, 0.0705026, 0.172699, -1.55625, 1.24633, -0.371739, -0.110713, -0.114564, 0.761002, -0.646224, 0.821029, 0.582024, 0.444277
12.7886, 0.13011, -1.11579, 0.753022, 0.00873007, 0.0268205, -0.279425, -0.911055, 0.84749, -0.140084, -0.526979, -0.156636, 0.0590003, 0.194334, -1.55773, 1.23074, -0.371403, -0.102332, -0.115443, 0.762012, -0.647091, 0.844601, 0.559837, 0.43041
12.7969, 0.125527, -1.12413, 0.751762, 0.0120432, 0.0322371, -0.276602, -0.922044, 0.845341, -0.144092, -0.529034, -0.159368, 0.046989, 0.215002, -1.55976, 1.21333, -0.369572, -0.0983221, -0.114593, 0.762011, -0.648276, 0.869022, 0.537429, 0.415116
12.8053, 0.121014, -1.13226, 0.750474, 0.0150436, 0.0420884, -0.272043, -0.934461, 0.845319, -0.148042, -0.527459, -0.169266, 0.0328059, 0.238248, -1.55861, 1.1976, -0.366381, -0.101347, -0.124246, 0.765425, -0.647892, 0.888702, 0.508488, 0.401715
12.8136, 0.114467, -1.14081, 0.749626, 0.0177652, 0.0512251, -0.269018, -0.948482, 0.847617, -0.153601, -0.53265, -0.179675, 0.0187155, 0.26052, -1.55625, 1.17956, -0.367922, -0.100316, -0.135689, 0.769809, -0.646816, 0.910702, 0.476201, 0.386744
12.822, 0.0980116, -1.1453, 0.74976, 0.0203284, 0.0567414, -0.275574, -0.959137, 0.851052, -0.158841, -0.541064, -0.187043, 0.00444301, 0.280135, -1.55542, 1.15986, -0.372794, -0.0940158, -0.151553, 0.773142, -0.646533, 0.935797, 0.44101, 0.37053
12.8303, 0.0829188, -1.1494, 0.750244, 0.0226092, 0.0604228, -0.281681, -0.968607, 0.854784, -0.163039, -0.546972, -0.194573, -0.00944183, 0.297508, -1.55797, 1.13997, -0.378345, -0.0897017, -0.164376, 0.77575, -0.648051, 0.959207, 0.408283, 0.35456
